共 36 条数据
日期           开       收       高       低       成交量(万)     涨跌%
2026-03-11   15.74   16.24   16.41   15.65   92         +3.18% 缩
2026-03-12   16.24   15.41   16.30   15.31   85         -5.11% 缩
2026-03-13   15.30   14.94   15.68   14.90   80         -2.35% 缩
2026-03-16   14.88   14.47   14.97   14.33   89         -2.76% 缩
2026-03-17   14.36   14.25   14.70   14.25   57         -0.77% 缩
2026-03-18   14.26   14.25   14.43   14.10   44         -0.07% 缩
2026-03-19   14.15   13.50   14.16   13.39   75         -4.59% 缩
2026-03-20   13.76   13.11   13.77   13.06   73         -4.72% 缩
2026-03-23   12.89   12.64   13.15   12.54   63         -1.94% 缩
2026-03-24   12.90   12.73   12.91   12.43   45         -1.32% 缩
2026-03-25   12.89   13.34   13.49   12.81   70         +3.49% 缩
2026-03-26   13.33   13.19   13.54   13.13   31         -1.05% 缩
2026-03-27   13.10   13.30   13.48   13.09   31         +1.53% 缩
2026-03-30   13.15   13.26   13.40   13.01   40         +0.84% 缩
2026-03-31   13.26   13.01   13.39   13.01   32         -1.89% 缩
